FINANCIALS_ID,STOCK_SYMBOL,FISCAL_YEAR,REVENUE,PROFIT,OPERATING_INCOME,NET_INCOME,ASSETS,EQUITY
90,HCA,0,58752.00,0.00,0.00,0.00,0.00,0.00
91,HD,2021,0.00,0.00,23040.00,16430.00,71880.00,0.00
92,HD,0,151157.00,0.00,0.00,0.00,0.00,0.00
93,HPQ,2020,0.00,0.00,0.00,6500.00,0.00,0.00
94,HPQ,0,63487.00,0.00,0.00,0.00,0.00,0.00
95,HPQ,2021,0.00,0.00,5300.00,0.00,38610.00,0.00
96,HUM,2021,0.00,0.00,3150.00,2930.00,44360.00,16100.00
97,HUM,0,83064.00,0.00,0.00,0.00,0.00,0.00
98,IBM,0,72344.00,0.00,0.00,0.00,0.00,0.00
99,IBM,2021,0.00,0.00,6860.00,5740.00,132000.00,18990.00
100,INTC,0,79024.00,19868.00,0.00,0.00,0.00,0.00
101,INTC,2021,0.00,0.00,19460.00,19870.00,168410.00,95390.00
102,JNJ,0,93775.00,20878.00,0.00,0.00,0.00,0.00
103,JNJ,2021,0.00,0.00,22776.00,28878.00,182018.00,74025.00
104,JPM,2021,0.00,0.00,59560.00,48330.00,0.00,294120.00
105,JPM,0,127202.00,48334.00,0.00,0.00,0.00,0.00
106,KO,0,38655.00,0.00,0.00,0.00,0.00,0.00
107,KO,2019,0.00,0.00,10090.00,8920.00,86380.00,18980.00
108,KR,0,137888.00,0.00,0.00,0.00,0.00,0.00
109,KR,2022,0.00,0.00,3477.00,1655.00,49086.00,9452.00
110,LMT,2021,0.00,0.00,9120.00,6320.00,50870.00,10960.00
111,LMT,0,67044.00,0.00,0.00,0.00,0.00,0.00
112,LOW,2020,0.00,0.00,6314.00,4281.00,39471.00,1972.00
113,LOW,0,96250.00,0.00,0.00,0.00,0.00,0.00
114,MCK,0,238228.00,0.00,0.00,0.00,0.00,0.00
115,MCK,2020,0.00,0.00,1120.00,1126.00,61247.00,5092.00
116,MET,0,71080.00,0.00,0.00,0.00,0.00,0.00
117,MET,2021,0.00,0.00,8130.00,6550.00,759710.00,67750.00
118,META,0,117385.00,0.00,0.00,0.00,0.00,0.00
119,META,2021,0.00,0.00,46753.00,39370.00,165987.00,124879.00
120,MPC,2020,0.00,0.00,12247.00,9977.00,85158.00,29252.00
121,MPC,0,141032.00,0.00,0.00,0.00,0.00,0.00
122,MRK,0,51216.00,0.00,0.00,0.00,0.00,0.00
123,MRK,2021,0.00,0.00,13880.00,13050.00,105690.00,38180.00
124,MS,2021,0.00,0.00,19700.00,15100.00,1118000.00,105440.00
125,MS,0,61121.00,0.00,0.00,0.00,0.00,0.00
126,MSFT,2022,0.00,0.00,83400.00,72700.00,364800.00,166500.00
127,MSFT,0,198087.00,61271.00,0.00,0.00,0.00,0.00
128,NKE,2022,0.00,0.00,6860.00,6050.00,40320.00,15280.00
129,NKE,0,44538.00,0.00,0.00,0.00,0.00,0.00
130,NUE,0,36484.00,0.00,0.00,0.00,0.00,0.00
